State,"Percentage 1 to 9,999 2021","Percentage 10,000 to 14,999 2021","Percentage 15,000 to 24,999 2021","Percentage 25,000 to 34,999 2021","Percentage 35,000 to 49,999 2021","Percentage 50,000 to 64,999 2021","Percentage 65,000 to 74,999 2021","Percentage 75,000 or more 2021"
Alabama,5.89%,4.64%,3.99%,3.99%,4.29%,5.04%,6.64%,10.28%
Alaska,9.44%,7.87%,7.26%,6.01%,6.69%,5.85%,6.90%,6.83%
Arizona,10.21%,9.34%,7.88%,7.28%,10.35%,11.86%,12.86%,19.68%
Arkansas,5.57%,4.80%,3.85%,3.75%,4.31%,5.47%,7.32%,10.79%
California,10.81%,9.11%,7.57%,6.95%,8.16%,10.40%,11.30%,17.28%
Colorado,11.65%,10.54%,9.23%,9.05%,9.97%,12.99%,14.57%,22.32%
Connecticut,9.35%,8.32%,6.51%,6.34%,6.86%,8.74%,9.51%,16.92%
Delaware,7.71%,7.96%,7.19%,6.49%,6.43%,9.91%,9.17%,16.00%
District of Columbia,10.58%,8.74%,6.92%,5.94%,6.93%,9.11%,9.18%,10.75%
Florida,8.92%,7.80%,6.57%,7.14%,7.77%,10.34%,11.46%,17.66%
Georgia,8.23%,7.77%,6.37%,6.11%,7.17%,9.56%,10.99%,18.83%
Hawaii,10.44%,7.10%,6.18%,5.83%,4.97%,6.13%,6.68%,8.47%
Idaho,11.24%,9.42%,6.91%,6.51%,7.65%,8.30%,8.30%,16.01%
Illinois,8.52%,7.58%,6.42%,6.30%,7.05%,9.42%,10.43%,15.83%
Indiana,6.93%,5.83%,4.98%,4.55%,5.46%,6.75%,7.98%,12.51%
Iowa,8.94%,6.95%,6.21%,5.62%,6.05%,7.33%,7.65%,13.52%
Kansas,7.85%,6.77%,5.34%,5.33%,5.88%,7.61%,8.65%,14.15%
Kentucky,6.25%,5.34%,4.63%,4.34%,5.73%,6.48%,7.66%,11.69%
Louisiana,6.02%,4.83%,3.64%,4.12%,4.32%,4.94%,5.55%,7.66%
Maine,11.22%,9.41%,9.71%,6.95%,8.56%,9.08%,11.35%,17.56%
Maryland,10.19%,9.50%,8.19%,7.55%,8.47%,11.04%,12.62%,20.01%
Massachusetts,9.45%,9.40%,7.73%,6.45%,8.31%,9.96%,10.42%,17.19%
Michigan,7.69%,6.91%,5.54%,5.32%,6.56%,8.07%,9.25%,13.98%
Minnesota,10.77%,9.29%,8.40%,7.30%,8.21%,10.41%,11.07%,17.65%
Mississippi,4.15%,3.29%,2.96%,3.19%,3.04%,4.15%,4.81%,6.97%
Missouri,7.40%,7.17%,5.96%,5.82%,6.21%,8.28%,9.20%,14.07%
Montana,10.64%,9.23%,8.15%,7.45%,7.95%,8.55%,11.09%,13.22%
Nebraska,7.66%,6.91%,5.83%,5.91%,5.86%,7.09%,7.28%,11.69%
Nevada,7.73%,7.03%,4.96%,4.68%,5.76%,7.51%,8.48%,12.26%
New Hampshire,8.46%,7.40%,6.80%,6.23%,7.76%,9.82%,12.87%,20.37%
New Jersey,8.36%,8.31%,6.19%,6.56%,7.00%,10.07%,10.70%,18.62%
New Mexico,10.61%,8.55%,6.08%,5.82%,7.36%,7.87%,8.06%,11.44%
New York,8.96%,7.64%,6.79%,6.40%,6.82%,8.36%,9.44%,12.62%
North Carolina,8.57%,7.39%,6.40%,6.55%,7.82%,9.29%,11.92%,19.93%
North Dakota,6.46%,5.38%,5.51%,4.22%,4.21%,4.61%,6.02%,6.92%
Ohio,7.28%,5.77%,5.18%,5.27%,6.34%,7.67%,8.92%,14.04%
Oklahoma,7.16%,6.58%,5.60%,4.60%,5.05%,5.90%,7.30%,9.44%
Oregon,11.90%,10.77%,8.97%,7.86%,8.96%,11.97%,13.27%,18.93%
Pennsylvania,8.53%,7.13%,6.46%,6.28%,7.59%,9.44%,10.45%,16.21%
Puerto Rico,5.09%,3.55%,2.94%,3.69%,4.58%,5.77%,7.15%,6.97%
Rhode Island,7.13%,5.98%,5.82%,5.86%,6.07%,8.03%,9.84%,12.91%
South Carolina,6.42%,5.45%,4.93%,4.53%,5.49%,7.26%,7.92%,14.46%
South Dakota,9.91%,7.91%,6.20%,5.30%,6.00%,7.32%,9.28%,10.99%
Tennessee,7.27%,5.97%,4.81%,5.18%,6.23%,7.95%,9.73%,14.63%
Texas,8.59%,7.45%,5.64%,5.68%,7.11%,8.49%,9.78%,15.59%
Utah,10.93%,10.36%,9.40%,8.59%,9.76%,11.60%,11.65%,17.75%
Vermont,12.01%,9.65%,8.41%,8.90%,8.32%,10.02%,11.97%,19.39%
Virginia,9.55%,8.77%,7.09%,6.52%,7.39%,9.85%,12.04%,19.51%
Washington,11.65%,10.59%,8.10%,6.99%,8.51%,10.50%,12.00%,20.26%
West Virginia,6.68%,5.13%,4.06%,4.33%,4.65%,5.72%,7.08%,9.42%
Wisconsin,7.72%,7.75%,6.48%,6.07%,6.79%,8.15%,8.52%,14.19%
Wyoming,8.76%,9.68%,6.39%,5.12%,5.21%,6.80%,6.61%,6.63%
